OTUs	"SRR17152824"	"SRR17152825"	"SRR17152826"	"SRR17152827"	"SRR17152828"	"SRR17152829"	"SRR17152830"	"SRR17152831"	"SRR17152832"	"SRR17152833"	"SRR17152834"	"SRR17152835"	"SRR17152836"	"SRR17152837"	"SRR17152838"	"SRR17152839"	"SRR17152840"	"SRR17152841"	"SRR17152842"	"SRR17152843"	"SRR17152844"	"SRR17152845"	"SRR17152846"	"SRR17152847"	"SRR17152848"	"SRR17152849"	"SRR17152850"	"SRR17152851"	"SRR17152852"	"SRR17152853"	"SRR17152854"	"SRR17152855"	"SRR17152856"	"SRR17152857"	"SRR17152858"	"SRR17152859"	"SRR17152860"	"SRR17152861"	"SRR17152862"	"SRR6927699"	"SRR6927700"	"SRR6927701"	"SRR6927702"	"SRR6927703"	"SRR6927704"	"SRR6927705"	"SRR6927706"	"SRR6927707"	"SRR6927708"	"SRR6927709"	"SRR6927710"	"SRR6927711"	"SRR6927712"	"SRR6927713"	"SRR6927714"	"SRR6927715"	"SRR6927716"	"SRR6927717"	"SRR6927718"	"SRR6927719"	"SRR6927720"	"SRR6927721"	"SRR6927722"	"SRR6927723"	"SRR6927724"	"SRR6927725"	"SRR6927726"	"SRR6927727"	"SRR6927728"
"OTU_51"	0	87	0	0	0	0	29	0	0	0	0	0	0	0	0	31	52	0	0	330	73	0	0	107	0	0	0	0	143	53	0	0	0	0	0	0	0	0	0	362	474	458	0	360	467	336	0	477	502	2747	321	435	549	0	389	488	340	396	529	574	0	409	0	648	456	447	46	0	409
"OTU_52"	0	102	0	0	0	0	47	0	0	0	0	0	0	0	0	33	52	0	0	402	84	0	0	110	0	0	0	0	160	53	0	0	32	0	0	0	0	0	0	335	548	376	0	366	418	308	0	489	484	2681	299	462	513	75	427	507	340	397	517	566	0	352	0	654	428	523	0	0	379
"OTU_53"	0	52	0	0	0	0	7	0	0	0	0	0	0	0	0	22	39	0	0	156	38	0	0	59	0	0	0	0	39	19	0	0	0	0	0	0	0	0	0	391	521	422	0	410	528	283	0	395	476	2671	343	533	527	191	421	524	399	371	549	550	0	428	0	653	470	478	0	0	382
"OTU_54"	0	75	0	0	0	0	15	0	0	0	0	0	0	0	0	46	66	0	0	242	90	0	0	97	0	0	0	0	140	54	0	0	16	0	0	0	0	0	0	382	505	460	0	403	447	304	0	476	467	2543	320	494	517	0	393	489	361	368	574	542	0	457	0	618	458	508	0	0	417
"OTU_55"	0	903	0	0	0	1446	0	0	0	3160	458	41	0	0	0	2041	161	746	343	0	0	71	0	21	0	210	0	1112	818	0	0	1126	0	349	134	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_56"	0	745	0	0	0	1874	0	0	0	2778	442	36	0	0	0	2082	175	784	325	0	0	0	0	23	0	240	0	1153	675	0	0	950	0	266	195	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_57"	0	757	0	0	0	1861	0	0	0	2578	360	41	0	0	0	2074	115	793	447	0	0	3	0	16	0	146	0	1206	830	0	0	968	0	334	162	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_58"	0	48	0	0	0	0	19	0	0	0	0	0	0	0	0	23	34	0	0	187	58	0	0	81	0	0	0	0	60	15	0	0	0	0	0	0	0	0	0	355	420	407	0	373	482	304	0	446	470	2467	281	437	494	199	436	463	381	361	525	524	0	411	0	608	398	410	0	0	407
"OTU_59"	0	38	0	0	0	0	17	0	0	0	0	0	0	0	0	38	42	0	0	149	56	0	0	118	0	0	0	0	122	23	0	0	0	0	0	0	0	0	0	328	530	375	0	353	476	305	0	479	475	2311	268	399	480	153	368	547	372	384	521	525	0	439	0	551	383	455	0	0	409
"OTU_60"	0	42	0	0	0	0	13	0	0	0	0	0	0	0	0	24	38	0	0	70	63	0	0	50	0	0	0	0	87	40	0	0	0	0	0	0	0	0	0	313	457	407	0	362	417	292	0	401	467	2512	300	458	527	0	363	480	349	406	553	535	0	380	0	600	446	460	0	0	417
"OTU_61"	0	679	0	0	0	1292	0	0	0	2870	369	38	0	0	0	1892	145	836	406	0	0	8	0	34	0	177	0	923	959	0	0	1041	0	295	120	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_62"	70	164	0	0	45	42	249	675	664	932	61	63	0	0	0	2140	28	255	426	216	0	0	0	0	12	874	1347	366	106	452	1391	560	87	94	0	515	0	243	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_63"	65	157	0	0	51	62	322	731	515	682	43	62	0	0	0	2215	33	288	458	252	0	0	0	0	0	484	1371	381	110	434	1716	713	70	101	0	469	0	200	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_64"	0	771	0	0	0	1917	0	0	0	2010	315	49	0	0	0	2145	168	661	303	0	0	0	0	26	0	118	0	1012	680	0	0	1193	0	284	165	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_65"	58	34	0	118	0	279	33	2080	857	191	55	47	0	0	0	177	28	309	300	2186	134	0	138	0	0	351	307	81	207	144	1520	294	400	122	72	170	0	1138	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_66"	103	144	0	0	54	92	219	599	623	768	45	0	0	0	0	2225	19	265	355	169	0	0	0	0	0	783	1437	430	112	451	1342	587	91	106	27	444	0	219	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
